Descricao,V.Venda
PO XADREZ PRETO 500G,35.0
POROLUX INCOLOR BELLINZONI,87.0
POROLUX PRETO BELLINZONI,87.0
POTEA,114.0
"PRATO 4"" ESPUMA E VELCRO",19.0
"PRATO 4"" FLEXIVEL",26.0
"PRATO 4"" RIGIDO ALUMINIO",27.0
"PRATO 4"" RIGIDO FINO AZUL",28.0
"PRATO 4"" RIGIDO FINO PRETO",20.0
"PRATO 4"" RIGIDO PRETO",28.0
"PRATO 4"" SEMI FLEXIVEL",26.0
"PRATO 7"" CINZA",34.0
"PRATO 7"" CINZA COM VELCRO",47.0
"PRATO 7"" COM ESPUMA E VELCRO",31.0
"PRATO 7"" PRETO",34.0
"PRATO 7"" PRETO COM VELCRO",53.0
PROTETOR AURICULAR FONE,48.0
PROTETOR AURICULAR PLUG,2.0
PULVERIZADOR DE ÁGUA PARA SERRA MARMORE,54.0
QUARTZO SUJEIRAS DIFICEIS CORES CLARAS BELLINZONI,88.0
"REBOLO 2"" #060",28.0
"REBOLO 2"" #120",28.0
"REBOLO 3"" BRASKORT #060",27.0
"REBOLO 3"" BRASKORT #080",27.0
"REBOLO 3"" BRASKORT #120",27.0
"REBOLO 3"" SHOW #120",33.0
"REBOLO 4"" BRASKORT #036",28.0
"REBOLO 4"" BRASKORT #060",28.0
"REBOLO 4"" BRASKORT #080",28.0
"REBOLO 4"" BRASKORT #120",28.0
"REBOLO 4"" REI #060",37.0
"REBOLO 4"" REI #080",37.0
"REBOLO 4"" REI #120",37.0
"REBOLO 4"" SHOW #036",39.0
"REBOLO 4"" SHOW #060",39.0
"REBOLO 4"" SHOW #080",39.0
"REBOLO 4"" SHOW #120",39.0
"REBOLO 5"" #036",45.0
"REBOLO 5"" #060",45.0
"REBOLO 5"" #080",45.0
"REBOLO 5"" #120",45.0
REBOLO CHICOTE,271.0
REBOLO PARA DESBASTE CONICO 38MM,74.0
REBOLO PARA DESBASTE CONICO 50MM,116.0
REBOLO RETO BRASKORT #036,30.0
REBOLO RETO BRASKORT #060,30.0
REBOLO RETO BRASKORT #120,30.0
REFIL PARA BARRIL #0100,20.0
REFIL PARA BARRIL #0200,20.0
REFIL PARA BARRIL #0400,20.0
REFIL PARA BARRIL #0800,20.0
REFIL PARA BARRIL #1500,20.0
REFIL PARA BARRIL #3000,20.0
"REFIL VELCRO 4""",7.0
